,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
231,867798.7712935198,232,0.6132580951668375,50,120000,235600,357600
232,867300.4791853228,233,0.6134090866737317,50,120000,236400,358400
233,866800.2193617264,234,0.6135590934257641,50,120000,237200,359200
234,866298.0129693551,235,0.6137081260058886,50,120000,238000,360000
235,865793.880839291,236,0.613856194839144,50,120000,238800,360800
236,865287.8434930856,237,0.6140033101956625,50,120000,239600,361600
237,864779.9211486324,238,0.6141494821936092,50,120000,240400,362400
238,864270.133725903,239,0.6142947208020523,50,120000,241200,363200
239,863758.5008525546,240,0.6144390358437691,50,120000,242000,364000
240,863245.0418694033,241,0.6145824369979863,50,120000,242800,364800
241,862729.7758357797,242,0.614724933803059,50,120000,243600,365600
242,862212.7215347586,243,0.6148665356590884,50,120000,244400,366400
243,861693.8974782727,244,0.6150072518304815,50,120000,245200,367200
244,861173.3219121085,245,0.6151470914484504,50,120000,246000,368000
245,860651.012820795,246,0.6152860635134595,50,120000,246800,368800
246,860126.9879323794,247,0.6154241768976153,50,120000,247600,369600
247,859601.2647230963,248,0.6155614403470032,50,120000,248400,370400
248,859073.8604219384,249,0.6156978624839752,50,120000,249200,371200
249,858544.7920151209,250,0.6158334518093832,50,120000,250000,372000
250,858014.0762504505,251,0.615968216704767,50,120000,250800,372800
251,857481.7296415996,252,0.6161021654344917,50,120000,251600,373600
252,856947.7684722855,253,0.6162353061478406,50,120000,252400,374400
253,856412.2088003596,254,0.6163676468810607,50,120000,253200,375200
254,855875.066461809,255,0.6164991955593658,50,120000,254000,376000
255,855336.3570746705,256,0.6166299599988955,50,120000,254800,376800
256,854796.0960428631,257,0.6167599479086322,50,120000,255600,377600
257,854254.2985599348,258,0.6168891668922775,50,120000,256400,378400
258,853710.9796127337,259,0.6170176244500883,50,120000,257200,379200
259,853166.1539849988,260,0.617145327980675,50,120000,258000,380000
260,852619.8362608748,261,0.6172722847827591,50,120000,258800,380800
261,852072.0408283551,262,0.6173985020568976,50,120000,259600,381600
262,851522.7818826507,263,0.6175239869071681,50,120000,260400,382400
263,850972.0734294888,264,0.6176487463428201,50,120000,261200,383200
264,850419.9292883449,265,0.617772787279892,50,120000,262000,384000
265,849866.3630956043,266,0.617896116542794,50,120000,262800,384800
266,849311.3883076613,267,0.6180187408658585,50,120000,263600,385600
